                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5894,                 7.6325,                 1.8116,                0.00354,                0.00833,                0.00174,                0.00064,                 2.0459,                 5.9537,                   1.46,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.4694,                 6.2595,                 1.8277,                0.02098,                  0.025,                0.00561,                0.00172,                 1.9354,                 5.2872,                 1.4063,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 2.1117,                 5.0488,                 1.6779,                0.07687,                0.16667,                 0.0434,                0.01597,                 1.8543,                 4.3183,                   1.38,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 1.8289,                 3.4788,                 1.3466,                 0.3313,                0.38758,                0.29349,                0.11965,                 1.8313,                 3.5295,                   1.38,             0.00010976,             0.00010976,             0.00010976
                      5,                 1.7468,                  2.776,                 1.2932,                0.50263,                0.52978,                0.42543,                 0.1895,                 1.8113,                 3.6082,                 1.3582,             0.00013815,             0.00013815,             0.00013815
                      6,                 1.6673,                 2.8782,                 1.2692,                0.78812,                   0.35,                 0.4539,                0.20385,                 1.7006,                  3.778,                 1.2884,             0.00016522,             0.00016522,             0.00016522
                      7,                 1.6116,                 2.3324,                 1.1886,                0.70808,                0.45631,                0.51887,                  0.266,                 1.6151,                 3.7589,                 1.2536,             0.00019096,             0.00019096,             0.00019096
                      8,                 1.4948,                 1.9588,                 1.1373,                0.77142,                0.46872,                0.54395,                0.27564,                 1.6068,                 4.1738,                 1.2439,             0.00021539,             0.00021539,             0.00021539
                      9,                 1.4931,                 1.7501,                 1.1053,                0.68386,                0.46839,                 0.5175,                0.25516,                 1.6405,                 4.4566,                 1.2587,              0.0002385,              0.0002385,              0.0002385
                     10,                 1.4965,                  1.786,                  1.139,                0.47366,                0.50686,                0.41168,                0.19073,                 1.6944,                 4.7035,                 1.2723,             0.00026029,             0.00026029,             0.00026029
                     11,                 1.4517,                 1.9161,                 1.1434,                0.52228,                0.42548,                0.40431,                0.18902,                 1.7409,                 4.7831,                 1.3093,             0.00028076,             0.00028076,             0.00028076
                     12,                 1.5196,                 1.7014,                 1.2012,                0.51154,                0.45833,                0.44421,                0.22544,                 1.7191,                 4.8655,                  1.311,              0.0002999,              0.0002999,              0.0002999
                     13,                 1.3674,                 1.6597,                 1.0704,                0.70348,                0.32272,                0.44696,                0.24322,                 1.6449,                 5.0801,                 1.3018,             0.00031773,             0.00031773,             0.00031773
                     14,                 1.4269,                 1.5782,                 1.1128,                0.50931,                0.47971,                0.35803,                0.20384,                 1.5483,                 6.7839,                 1.2703,             0.00033424,             0.00033424,             0.00033424
                     15,                 1.2431,                 1.2272,                 1.0129,                0.19283,                 0.5038,                0.19471,                0.10971,                  1.568,                 11.973,                 1.2699,             0.00034942,             0.00034942,             0.00034942
                     16,                 1.1873,                 1.2957,                 1.0388,                0.17348,                0.41709,                0.13627,                0.07209,                 1.5931,                 7.1339,                 1.3053,             0.00036329,             0.00036329,             0.00036329
                     17,                 1.3448,                 1.3924,                 1.1079,                0.51609,                0.33333,                0.34474,                0.18799,                 1.5702,                 4.2071,                 1.2876,             0.00037584,             0.00037584,             0.00037584
                     18,                 1.2557,                 1.1382,                0.98896,                0.53782,                  0.375,                 0.3593,                 0.1813,                 1.5954,                 3.7157,                 1.3043,             0.00038706,             0.00038706,             0.00038706
                     19,                  1.226,                 1.1225,                0.97639,                 0.4707,                0.42141,                0.25701,                0.12714,                 1.6224,                 4.0487,                 1.3397,             0.00039697,             0.00039697,             0.00039697
                     20,                 1.2223,                 1.1151,                  1.069,                0.47394,                0.41976,                0.22953,                0.11064,                 1.6792,                 8.1026,                 1.3895,             0.00040555,             0.00040555,             0.00040555
                     21,                 1.1585,                 1.1197,                 1.0523,                0.46106,                0.45833,                0.24999,                 0.1272,                 1.7407,                 4.8838,                 1.4504,             0.00041282,             0.00041282,             0.00041282
                     22,                 1.1994,                 1.1225,                0.98922,                0.55504,                0.38333,                0.36563,                0.20495,                 1.7622,                 3.1868,                 1.4688,             0.00041876,             0.00041876,             0.00041876
                     23,                 1.2342,                 1.0853,                 1.0231,                0.69966,                0.39589,                0.45918,                 0.2613,                 1.7375,                  2.791,                 1.4277,             0.00042338,             0.00042338,             0.00042338
                     24,                 1.1374,                0.97632,                 1.0171,                0.66838,                0.40036,                0.44943,                0.26362,                 1.7437,                 2.4299,                 1.4205,             0.00042669,             0.00042669,             0.00042669
                     25,                 1.1492,                0.96795,                0.94503,                0.56112,                  0.375,                0.36233,                 0.2061,                   1.75,                 2.5455,                 1.4091,             0.00042867,             0.00042867,             0.00042867
                     26,                 1.1089,                 0.9102,                 1.0124,                 0.6782,                0.38613,                0.49555,                0.27233,                 1.7953,                 2.1443,                 1.3901,             0.00042934,             0.00042934,             0.00042934
                     27,                 1.0813,                 1.0505,                0.98941,                0.68352,                0.55318,                0.58755,                0.31382,                 1.7791,                 1.9331,                 1.3656,             0.00042868,             0.00042868,             0.00042868
                     28,                 1.0035,                0.88008,                0.92227,                0.68352,                0.55318,                0.58755,                0.31382,                 1.7791,                 1.9331,                 1.3656,              0.0004267,              0.0004267,              0.0004267
                     29,                  1.136,                0.92327,                 1.0032,                 0.7045,                0.58333,                0.62067,                0.34738,                 1.6974,                 1.7468,                 1.3285,              0.0004234,              0.0004234,              0.0004234
                     30,                 1.0946,                0.88098,                 1.0302,                0.76383,                0.55056,                0.63353,                0.35472,                 1.6363,                 1.6656,                 1.3122,             0.00041879,             0.00041879,             0.00041879
                     31,                 1.1364,                0.78149,                0.98594,                0.76383,                0.55056,                0.63353,                0.35472,                 1.6363,                 1.6656,                 1.3122,             0.00041285,             0.00041285,             0.00041285
                     32,                 1.0355,                0.81428,                 0.9493,                0.80195,                0.56667,                0.63851,                0.36318,                 1.6238,                 1.7006,                 1.3003,             0.00040559,             0.00040559,             0.00040559
                     33,                 1.1398,                0.83338,                 1.0389,                0.84165,                0.54968,                0.64761,                0.36951,                 1.6154,                  1.741,                 1.2856,             0.00039701,             0.00039701,             0.00039701
                     34,                 1.0712,                0.79866,                0.98663,                0.84165,                0.54968,                0.64761,                0.36951,                 1.6154,                  1.741,                 1.2856,             0.00038711,             0.00038711,             0.00038711
                     35,                 1.0092,                 0.8409,                0.98226,                0.83078,                0.51667,                0.64275,                0.36323,                 1.6282,                 1.8111,                  1.288,              0.0003759,              0.0003759,              0.0003759
                     36,                0.94626,                0.84036,                 1.0202,                0.92618,                0.51667,                  0.654,                0.36051,                 1.6417,                 1.7245,                 1.3112,             0.00036336,             0.00036336,             0.00036336
                     37,                 1.0366,                0.82297,                 1.0332,                0.92618,                0.51667,                  0.654,                0.36051,                 1.6417,                 1.7245,                 1.3112,              0.0003495,              0.0003495,              0.0003495
                     38,                0.98559,                0.73176,                0.96788,                0.66661,                   0.55,                0.59943,                0.33157,                 1.5929,                 1.7453,                 1.2896,             0.00033432,             0.00033432,             0.00033432
                     39,                0.91536,                0.65274,                0.91457,                0.61911,                0.53812,                0.55379,                0.29331,                 1.5866,                 1.8313,                 1.2827,             0.00031782,             0.00031782,             0.00031782
                     40,                0.86614,                0.70053,                0.93612,                0.61911,                0.53812,                0.55379,                0.29331,                 1.5866,                 1.8313,                 1.2827,                 0.0003,                 0.0003,                 0.0003
                     41,                0.93915,                0.79006,                0.95436,                0.68668,                  0.575,                0.64064,                 0.3493,                 1.5473,                 1.6696,                 1.2693,             0.00028086,             0.00028086,             0.00028086
                     42,                0.93263,                0.82371,                0.94574,                0.79213,                0.57848,                0.67677,                 0.3711,                 1.5236,                 1.6239,                 1.2633,              0.0002604,              0.0002604,              0.0002604
                     43,                0.91209,                0.71334,                0.92877,                0.79213,                0.57848,                0.67677,                 0.3711,                 1.5236,                 1.6239,                 1.2633,             0.00023861,             0.00023861,             0.00023861
                     44,                0.85981,                0.70932,                0.91648,                0.79066,                0.64167,                0.71919,                0.40109,                 1.4698,                 1.5075,                 1.2345,             0.00021551,             0.00021551,             0.00021551
                     45,                0.89775,                0.68753,                0.92562,                0.79066,                0.64167,                0.71919,                0.40109,                 1.4698,                 1.5075,                 1.2345,             0.00019109,             0.00019109,             0.00019109
                     46,                0.88652,                 0.6512,                0.94628,                0.74867,                0.68333,                0.74106,                0.42017,                 1.4488,                 1.4112,                 1.2259,             0.00016535,             0.00016535,             0.00016535
                     47,                0.86924,                 0.6711,                  0.957,                0.74867,                0.68333,                0.74106,                0.42017,                 1.4488,                 1.4112,                 1.2259,             0.00013829,             0.00013829,             0.00013829
                     48,                0.85696,                0.61186,                0.91813,                0.74614,                    0.7,                0.75331,                0.43609,                  1.427,                 1.3436,                 1.2127,             0.00010991,             0.00010991,             0.00010991
                     49,                0.90116,                0.64995,                0.93467,                0.74614,                    0.7,                0.75331,                0.43609,                  1.427,                 1.3436,                 1.2127,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                0.81041,                0.57729,                0.91761,                0.75387,                 0.7254,                 0.7629,                0.44673,                 1.4185,                 1.3095,                 1.2109,              4.918e-05,              4.918e-05,              4.918e-05
