                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4365,                   4.94,                 1.8783,                 0.2872,                   0.05,                0.07921,                0.02923,                 1.8723,                 4.0764,                 1.4707,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  2.201,                 3.7873,                 1.7375,                0.31303,                0.54167,                0.32465,                0.15282,                  1.647,                 3.4473,                 1.3417,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 1.6902,                 3.0907,                 1.4488,                0.34461,                0.42861,                0.34708,                0.15954,                 1.5896,                 3.2673,                 1.3673,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 1.4256,                 2.2333,                 1.2147,                0.66991,                0.63333,                0.64247,                0.35695,                 1.4401,                 2.5867,                 1.2539,             0.00010976,             0.00010976,             0.00010976
                      5,                 1.4256,                  1.723,                  1.113,                0.72792,                 0.4924,                0.59265,                0.32308,                 1.5781,                 1.9527,                 1.2945,             0.00013815,             0.00013815,             0.00013815
                      6,                 1.4815,                 1.9003,                 1.1931,                0.53182,                0.52431,                0.51639,                0.26666,                 1.6696,                 1.9472,                 1.3434,             0.00016522,             0.00016522,             0.00016522
                      7,                 1.3759,                 1.8055,                 1.0833,                0.12675,                 0.5369,                0.09595,                0.04403,                 1.8889,                 12.908,                 1.5197,             0.00019096,             0.00019096,             0.00019096
                      8,                  1.328,                 1.2657,                 1.0661,                0.65555,                0.43801,                  0.465,                0.24582,                 1.8417,                 2.5271,                 1.5695,             0.00021539,             0.00021539,             0.00021539
                      9,                 1.3136,                 1.3215,                 1.0671,                  0.622,                0.39167,                0.42299,                0.22764,                  1.802,                 2.4473,                 1.5515,              0.0002385,              0.0002385,              0.0002385
                     10,                 1.2282,                 1.4027,                 1.0416,                0.50741,                0.31667,                0.32983,                0.17621,                 1.8942,                 3.0278,                 1.5766,             0.00026029,             0.00026029,             0.00026029
                     11,                 1.2362,                 1.5431,                 1.0888,                0.47685,                0.46534,                0.36737,                0.19763,                 1.7177,                 3.2234,                 1.4465,             0.00028076,             0.00028076,             0.00028076
                     12,                 1.3979,                  1.682,                 1.1677,                0.17372,                0.38333,                0.11642,                0.05489,                 1.6929,                 7.7307,                 1.4105,              0.0002999,              0.0002999,              0.0002999
                     13,                 1.1898,                 1.6456,                 1.0344,                 0.4209,                0.49167,                0.34016,                   0.16,                 1.6839,                 7.2671,                 1.3642,             0.00031773,             0.00031773,             0.00031773
                     14,                  1.313,                 1.4357,                 1.1326,                 0.5603,                0.45161,                0.39593,                0.20039,                 1.7758,                 3.3082,                 1.4602,             0.00033424,             0.00033424,             0.00033424
                     15,                 1.3769,                 1.7201,                 1.1342,                0.18041,                0.35868,                0.13974,                0.05525,                 1.9804,                 14.532,                 1.6084,             0.00034942,             0.00034942,             0.00034942
                     16,                  1.077,                 1.6379,                 1.0585,                0.48572,                0.27588,                0.29997,                0.13581,                 1.9055,                 7.0736,                 1.6508,             0.00036329,             0.00036329,             0.00036329
                     17,                 1.2785,                 1.9198,                 1.1946,                0.24896,                    0.5,                0.34694,                 0.1745,                 1.8861,                 19.448,                 1.7262,             0.00037584,             0.00037584,             0.00037584
                     18,                  1.152,                  1.198,                 1.0699,                0.04882,                0.29167,                0.10575,                0.05307,                 2.0321,                  66.55,                 1.8843,             0.00038706,             0.00038706,             0.00038706
                     19,                 1.1474,                 1.1424,                 1.0488,                0.01611,                0.34167,                0.05243,                0.02213,                  2.095,                 124.81,                 2.0186,             0.00039697,             0.00039697,             0.00039697
                     20,                 1.3194,                 1.3564,                  1.249,                0.11857,                    0.4,                0.12904,                0.06329,                  2.037,                 275.59,                 1.9583,             0.00040555,             0.00040555,             0.00040555
                     21,                 1.2431,                 1.0747,                 1.0949,                0.03341,                0.40833,                0.05275,                0.02218,                 2.0626,                 553.04,                  2.007,             0.00041282,             0.00041282,             0.00041282
                     22,                 1.2012,                0.97938,                 1.0454,                0.02635,                0.38333,                0.02746,                0.01316,                 1.9807,                 113.29,                 1.8853,             0.00041876,             0.00041876,             0.00041876
                     23,                 1.2224,                 1.2069,                 1.1023,                0.04259,                0.33333,                0.04746,                0.02365,                 2.1398,                 47.584,                 2.1077,             0.00042338,             0.00042338,             0.00042338
                     24,                 1.3051,                 1.0686,                 1.1582,                0.13222,                0.29167,                 0.0786,                  0.039,                 2.3791,                 648.38,                 2.4939,             0.00042669,             0.00042669,             0.00042669
                     25,                 1.2759,                 1.1076,                 1.1316,                0.00275,                  0.175,                0.00161,                 0.0008,                 2.5739,                 6508.8,                 4.5467,             0.00042867,             0.00042867,             0.00042867
                     26,                 1.2542,                 1.1254,                 1.1073,                0.00701,                0.19167,                0.00384,                0.00198,                 2.4623,                  20636,                 7.2028,             0.00042934,             0.00042934,             0.00042934
                     27,                 1.2456,                 1.1471,                   1.14,                0.23046,                0.16667,                0.10264,                0.05879,                 2.5419,                 496.76,                 2.4482,             0.00042868,             0.00042868,             0.00042868
                     28,                   1.18,                 1.1109,                  1.045,                0.23046,                0.16667,                0.10264,                0.05879,                 2.5419,                 496.76,                 2.4482,              0.0004267,              0.0004267,              0.0004267
                     29,                 1.1341,                 1.0302,                 1.0396,                0.19353,                0.16667,                0.07962,                 0.0454,                 3.0687,                 326.92,                 3.5131,              0.0004234,              0.0004234,              0.0004234
                     30,                 1.0295,                0.93079,                0.99863,                0.07474,                    0.1,                0.03091,                0.01685,                 3.3999,                 16.667,                 3.2801,             0.00041879,             0.00041879,             0.00041879
                     31,                 1.1258,                 0.9486,                 1.0607,                0.07474,                    0.1,                0.03091,                0.01685,                 3.3999,                 16.667,                 3.2801,             0.00041285,             0.00041285,             0.00041285
                     32,                 1.1616,                 1.0451,                 1.0922,                0.20486,                0.08333,                0.05488,                0.02588,                 3.3786,                 4.3259,                 2.9542,             0.00040559,             0.00040559,             0.00040559
                     33,                 1.1426,                0.97541,                 1.0944,                0.15834,                0.08333,                0.04088,                0.01993,                 3.5747,                  4.551,                 3.2765,             0.00039701,             0.00039701,             0.00039701
